nombre_repo,url_repo,estrellas,ruta_coincidente,rutas_coincidentes,coincidencias,origen
0wnerDied/android_kernel_huawei_sm8350,https://api.github.com/repos/0wnerDied/android_kernel_huawei_sm8350,3.0,drivers/hwpower/cc_charger/wireless_charge/wireless_tx/wireless_tx_client_ui.c,drivers/hwpower/cc_charger/wireless_charge/wireless_tx/wireless_tx_client_ui.c,1,gh search code
15933111693/copy-data-analysis,https://api.github.com/repos/15933111693/copy-data-analysis,,.claude/commands/speckit.plan.md,.claude/commands/speckit.plan.md,1,gh search code
21-DOT-DEV/subtree,https://api.github.com/repos/21-DOT-DEV/subtree,2.0,.windsurf/rules/compliance-check.md,.windsurf/rules/compliance-check.md,1,gh search code
21-DOT-DEV/swift-openssl,https://api.github.com/repos/21-DOT-DEV/swift-openssl,2.0,.windsurf/workflows/speckit.design-tokens.md,.windsurf/workflows/speckit.design-tokens.md; .windsurf/workflows/speckit.forge.design-tokens.md,2,gh search code
24Seconds03/orderservice-speckit,https://api.github.com/repos/24Seconds03/orderservice-speckit,,doku.md,doku.md,1,gh search code
40tude/piste_che,https://api.github.com/repos/40tude/piste_che,,.slugignore,.slugignore,1,gh search code
7800-devtools/a7800,https://api.github.com/repos/7800-devtools/a7800,45.0,src/emu/image.cpp,src/emu/image.cpp,1,gh search code
888888888881/spec-kit-chinese,https://api.github.com/repos/888888888881/spec-kit-chinese,194.0,.cursor/commands/speckit.checklist.md,.cursor/commands/speckit.checklist.md; .cursor/commands/speckit.analyze.md,2,gh search code
a-b-street/abstreet,https://api.github.com/repos/a-b-street/abstreet,8112.0,apps/santa/src/music.rs,apps/santa/src/music.rs,1,gh search code
A-RAVEN/CascadedEngine,https://api.github.com/repos/A-RAVEN/CascadedEngine,1.0,.claude/commands/speckit.specify.md,.claude/commands/speckit.specify.md,1,gh search code
a4b-corporation/xTalent,https://api.github.com/repos/a4b-corporation/xTalent,,docs/SPEC-KIT-ANALYSIS.md,docs/SPEC-KIT-ANALYSIS.md,1,gh search code
AA-Turner/top-pypi-sdists-2000,https://api.github.com/repos/AA-Turner/top-pypi-sdists-2000,,extracted/co/coolprop/wrappers/Python/CoolProp/CoolProp.pyx,extracted/co/coolprop/wrappers/Python/CoolProp/CoolProp.pyx; extracted/co/coolprop/src/Backends/Helmholtz/TransportRoutines.cpp,2,gh search code
aaravcode-1/aarav-calculator,https://api.github.com/repos/aaravcode-1/aarav-calculator,,templates/index.html,templates/index.html,1,gh search code
abdul-ahad-26/physical-ai-and-humanoid-robotics,https://api.github.com/repos/abdul-ahad-26/physical-ai-and-humanoid-robotics,2.0,CLAUDE.md,CLAUDE.md,1,gh search code
abdulahad139/Todoapp-HackathonII,https://api.github.com/repos/abdulahad139/Todoapp-HackathonII,,.claude/settings.local.json.tmp.10268.1766989331461,.claude/settings.local.json.tmp.10268.1766989331461,1,gh search code
AbdulSamad94/Hackhaton-SpecsKitPlus,https://api.github.com/repos/AbdulSamad94/Hackhaton-SpecsKitPlus,3.0,.claude/commands/sp.specify.md,.claude/commands/sp.specify.md,1,gh search code
AbsaOSS/generate-release-notes,https://api.github.com/repos/AbsaOSS/generate-release-notes,12.0,steps.txt,steps.txt,1,gh search code
absrzvi/bms-agent,https://api.github.com/repos/absrzvi/bms-agent,,tasks.md,tasks.md; .specify/scripts/bash/check-prerequisites.sh,2,gh search code
abuxton/reddwarf-llm,https://api.github.com/repos/abuxton/reddwarf-llm,,common/mk/specify.mk,common/mk/specify.mk,1,gh search code
acdvorak/jquery.caret,https://api.github.com/repos/acdvorak/jquery.caret,132.0,libs/qunit/pavlov.js,libs/qunit/pavlov.js,1,gh search code
Activer007/ordinary-claude-skills,https://api.github.com/repos/Activer007/ordinary-claude-skills,8.0,skills_all/claude-win11-speckit-update-skill/SECURITY.md,skills_all/claude-win11-speckit-update-skill/SECURITY.md; skills_all/claude-win11-speckit-update-skill/CHANGELOG.md,2,gh search code
adamjdavidson/vendoreval4,https://api.github.com/repos/adamjdavidson/vendoreval4,,claude.md,claude.md,1,gh search code
AdhirRamjiawan/payslip4all,https://api.github.com/repos/AdhirRamjiawan/payslip4all,,payslip4all/.specify/scripts/bash/create-new-feature.sh,payslip4all/.specify/scripts/bash/create-new-feature.sh,1,gh search code
AdoptOpenJDK/openjdk-portola,https://api.github.com/repos/AdoptOpenJDK/openjdk-portola,2.0,src/java.base/share/classes/sun/security/tools/keytool/Main.java,src/java.base/share/classes/sun/security/tools/keytool/Main.java,1,gh search code
Advanced-Labs/DOTNExT,https://api.github.com/repos/Advanced-Labs/DOTNExT,,Docs/Pre Fork Docs - All projects/roslyn/analyzers/Report Analyzer Format.md,Docs/Pre Fork Docs - All projects/roslyn/analyzers/Report Analyzer Format.md,1,gh search code
afcarl/reference,https://api.github.com/repos/afcarl/reference,,ssh.md,ssh.md,1,gh search code
agent0ai/a0-launcher,https://api.github.com/repos/agent0ai/a0-launcher,25.0,AGENTS.md,AGENTS.md,1,gh search code
agentii-ai/twitter-init-kit,https://api.github.com/repos/agentii-ai/twitter-init-kit,3.0,.twitterkit/scripts/bash/create-new-campaign.sh,.twitterkit/scripts/bash/create-new-campaign.sh,1,gh search code
Ahmed-KHI/meeting-intelligence,https://api.github.com/repos/Ahmed-KHI/meeting-intelligence,,.gemini/commands/sp.plan.toml,.gemini/commands/sp.plan.toml,1,gh search code
ahmed-lotfy-dev/my-portfolio,https://api.github.com/repos/ahmed-lotfy-dev/my-portfolio,,.dockerignore,.dockerignore,1,gh search code
ahoward/tc,https://api.github.com/repos/ahoward/tc,75.0,AI.md,AI.md; specs/004-heli-cool-stdout/plan.md,2,gh search code
Akber261986/humanoid_robotic_book,https://api.github.com/repos/Akber261986/humanoid_robotic_book,,CLAUDE.md,CLAUDE.md,1,gh search code
akiojin/push-notification,https://api.github.com/repos/akiojin/push-notification,,CLAUDE.md,CLAUDE.md,1,gh search code
akiojin/unity-mcp-server,https://api.github.com/repos/akiojin/unity-mcp-server,25.0,.specify/scripts/bash/update-specs-readme.sh,.specify/scripts/bash/update-specs-readme.sh,1,gh search code
Akshita1414/Javascript,https://api.github.com/repos/Akshita1414/Javascript,,Javascript/Basics2/array.js,Javascript/Basics2/array.js,1,gh search code
alegro96/BME680_AirQualitySensor,https://api.github.com/repos/alegro96/BME680_AirQualitySensor,,.specify/memory/spec.md,.specify/memory/spec.md,1,gh search code
alexaandig/spec-kit,https://api.github.com/repos/alexaandig/spec-kit,,src/specify_cli/__init__.py,src/specify_cli/__init__.py,1,gh search code
alfredoperez/speckit-companion,https://api.github.com/repos/alfredoperez/speckit-companion,26.0,.specify/memory/constitution.md,.specify/memory/constitution.md,1,gh search code
aliakhav/DG_TITAN2D,https://api.github.com/repos/aliakhav/DG_TITAN2D,1.0,fsrc/pack_bc/bcelem.f,fsrc/pack_bc/bcelem.f,1,gh search code
alibaba/dify,https://api.github.com/repos/alibaba/dify,4.0,web/i18n/it-IT/plugin.json,web/i18n/it-IT/plugin.json,1,gh search code
alirezaandersen/idea_box,https://api.github.com/repos/alirezaandersen/idea_box,,public/assets/mocha/1.10.0-3caf215ba01eda4984284ed91ba64f1094101e1c7c957101c60dc535738a06ca.js,public/assets/mocha/1.10.0-3caf215ba01eda4984284ed91ba64f1094101e1c7c957101c60dc535738a06ca.js,1,gh search code
alkem-io/client-web,https://api.github.com/repos/alkem-io/client-web,23.0,specs/004-guest-whiteboard-contributions/tasks.md,specs/004-guest-whiteboard-contributions/tasks.md,1,gh search code
alkem-io/notifications,https://api.github.com/repos/alkem-io/notifications,3.0,agents.md,agents.md,1,gh search code
alkem-io/test-suites,https://api.github.com/repos/alkem-io/test-suites,2.0,docs/QA-STRATEGIC-PLAN-2026.md,docs/QA-STRATEGIC-PLAN-2026.md,1,gh search code
allanweber/nutrition-app,https://api.github.com/repos/allanweber/nutrition-app,,.specify/scripts/bash/create-new-feature.sh,.specify/scripts/bash/create-new-feature.sh,1,gh search code
AlmightyTopher/cuzisaidso,https://api.github.com/repos/AlmightyTopher/cuzisaidso,,plan.md,plan.md,1,gh search code
AlmightyTopher/wretchedesigns_the-Website,https://api.github.com/repos/AlmightyTopher/wretchedesigns_the-Website,,sofar.md,sofar.md,1,gh search code
alotau/dwsolver,https://api.github.com/repos/alotau/dwsolver,21.0,.specify/memory/constitution.md,.specify/memory/constitution.md,1,gh search code
amangupta20/eduops,https://api.github.com/repos/amangupta20/eduops,2.0,.specify/scripts/bash/create-new-feature.sh,.specify/scripts/bash/create-new-feature.sh,1,gh search code
Ameen-Alam/Full-Stack-Web-Application,https://api.github.com/repos/Ameen-Alam/Full-Stack-Web-Application,3.0,CLAUDE.md,CLAUDE.md,1,gh search code
amengede/getIntoGameDev,https://api.github.com/repos/amengede/getIntoGameDev,377.0,APIs/vulkan 2022/27 - Multithreaded Job System/Start/view/engine.cpp,APIs/vulkan 2022/27 - Multithreaded Job System/Start/view/engine.cpp,1,gh search code
AMReX-Microelectronics/FerroX,https://api.github.com/repos/AMReX-Microelectronics/FerroX,30.0,Exec/Examples/inputs_mfis_eb,Exec/Examples/inputs_mfis_eb,1,gh search code
AmRo1011/AssignMind,https://api.github.com/repos/AmRo1011/AssignMind,,.specify/memory/specification.md,.specify/memory/specification.md,1,gh search code
Andre0923/TaiwanMarketTimeMachine,https://api.github.com/repos/Andre0923/TaiwanMarketTimeMachine,,.specify/scripts/powershell/common.ps1,.specify/scripts/powershell/common.ps1; .cursorrules,2,gh search code
andrei-stsiapanau/soapclient-transports,https://api.github.com/repos/andrei-stsiapanau/soapclient-transports,,.specify/README.md,.specify/README.md,1,gh search code
AndrewMcLachlan/MooAuth,https://api.github.com/repos/AndrewMcLachlan/MooAuth,,src/MooAuth.Modules.DataSources/Queries/PickList/Get.cs,src/MooAuth.Modules.DataSources/Queries/PickList/Get.cs; src/MooAuth.Modules.Roles/Queries/Get.cs,2,gh search code
angelllemn/agi-force-mvp,https://api.github.com/repos/angelllemn/agi-force-mvp,,readme.MD,readme.MD,1,gh search code
angelolab/publications,https://api.github.com/repos/angelolab/publications,18.0,2022-McCaffrey_etal_HumanTB/R/TBMIBIcellCountsBarGraph.R,2022-McCaffrey_etal_HumanTB/R/TBMIBIcellCountsBarGraph.R,1,gh search code
angusmccloud/inventory-management-context,https://api.github.com/repos/angusmccloud/inventory-management-context,,.specify/memory/agent-shared-context.md,.specify/memory/agent-shared-context.md,1,gh search code
anhtu1707/stream,https://api.github.com/repos/anhtu1707/stream,,frontend/data/locale/gl-ES.ini,frontend/data/locale/gl-ES.ini; frontend/data/locale/lo-LA.ini; frontend/data/locale/sv-SE.ini; frontend/data/locale/ms-MY.ini; frontend/data/locale/pl-PL.ini; frontend/data/locale/ka-GE.ini,6,gh search code
apache/cloudstack,https://api.github.com/repos/apache/cloudstack,2843.0,ui/src/views/network/LoadBalancing.vue,ui/src/views/network/LoadBalancing.vue; server/src/main/java/com/cloud/network/NetworkServiceImpl.java,2,gh search code
ardzz/perplexity-scrape,https://api.github.com/repos/ardzz/perplexity-scrape,13.0,.dockerignore,.dockerignore,1,gh search code
AreebaZafarChohan/physical-ai-and-robotics,https://api.github.com/repos/AreebaZafarChohan/physical-ai-and-robotics,,QWEN.md,QWEN.md,1,gh search code
ArkLabsHQ/arkadian,https://api.github.com/repos/ArkLabsHQ/arkadian,,.specify/scripts/bash/create-new-feature.sh,.specify/scripts/bash/create-new-feature.sh,1,gh search code
arsscriptum/tracker-rank,https://api.github.com/repos/arsscriptum/tracker-rank,,src/cmdline.cpp,src/cmdline.cpp,1,gh search code
ArtisanCloud/PowerX,https://api.github.com/repos/ArtisanCloud/PowerX,324.0,.codex/prompts/speckit.plan.md,.codex/prompts/speckit.plan.md,1,gh search code
AsharibAli/q4-giaic-sunday,https://api.github.com/repos/AsharibAli/q4-giaic-sunday,18.0,📂class-code/class_jan_18/CLAUDE.md,📂class-code/class_jan_18/CLAUDE.md,1,gh search code
AshleyColeman/speckit-breakdown,https://api.github.com/repos/AshleyColeman/speckit-breakdown,,AGENT.md,AGENT.md,1,gh search code
Ashritha-Gangala/aws-doc-sdk,https://api.github.com/repos/Ashritha-Gangala/aws-doc-sdk,,java/example_code/emr/runjobflow-configurationclassification.java,java/example_code/emr/runjobflow-configurationclassification.java,1,gh search code
asma-aslam30/hackathon,https://api.github.com/repos/asma-aslam30/hackathon,,.qwen/commands/sp.specify.md,.qwen/commands/sp.specify.md,1,gh search code
assistant-ui/assistant-ui,https://api.github.com/repos/assistant-ui/assistant-ui,8983.0,scripts/cleanup-monorepo.sh,scripts/cleanup-monorepo.sh,1,gh search code
asuutd/website,https://api.github.com/repos/asuutd/website,5.0,apps/events/.specify/memory/constitution.md,apps/events/.specify/memory/constitution.md,1,gh search code
atesemre/AzurePowerShell,https://api.github.com/repos/atesemre/AzurePowerShell,1.0,src/ResourceGraph/ResourceGraph.Autorest/generated/runtime/Nodes/JsonDate.cs,src/ResourceGraph/ResourceGraph.Autorest/generated/runtime/Nodes/JsonDate.cs,1,gh search code
athola/claude-night-market,https://api.github.com/repos/athola/claude-night-market,225.0,plugins/spec-kit/skills/speckit-orchestrator/modules/artifact-structure.md,plugins/spec-kit/skills/speckit-orchestrator/modules/artifact-structure.md,1,gh search code
augentic/specify,https://api.github.com/repos/augentic/specify,1.0,AGENTS.md,AGENTS.md,1,gh search code
Awaisprogram/hackathon-physical-ai-humanoid-textbook,https://api.github.com/repos/Awaisprogram/hackathon-physical-ai-humanoid-textbook,,CLAUDE.md,CLAUDE.md,1,gh search code
awesome-agent-workflows/spec-driven-workflows,https://api.github.com/repos/awesome-agent-workflows/spec-driven-workflows,1.0,.specify/scripts/bash/prepare-execution-phase-review.sh,.specify/scripts/bash/prepare-execution-phase-review.sh; .specify/scripts/powershell/prepare-post-implementation-quality-plan.ps1; .specify/scripts/bash/prepare-agent-skill.sh,3,gh search code
awsdocs/aws-doc-sdk-examples,https://api.github.com/repos/awsdocs/aws-doc-sdk-examples,10382.0,java/example_code/emr/runjobflow-configurationclassification.java,java/example_code/emr/runjobflow-configurationclassification.java; .doc_gen/metadata/iam_metadata.yaml,2,gh search code
ayesha-muttalib123/physical-ai-book,https://api.github.com/repos/ayesha-muttalib123/physical-ai-book,,.specify/scripts/auto-append-phr.py,.specify/scripts/auto-append-phr.py,1,gh search code
ayeshalee88/PHASEIII,https://api.github.com/repos/ayeshalee88/PHASEIII,,CLAUDE.md,CLAUDE.md,1,gh search code
Ayush-PS/StreeShakti,https://api.github.com/repos/Ayush-PS/StreeShakti,,src/components/Styles/PeriodTracker.module.css,src/components/Styles/PeriodTracker.module.css,1,gh search code
Azeem-2/final-docusarus,https://api.github.com/repos/Azeem-2/final-docusarus,1.0,CURSOR.md,CURSOR.md; .cursor/commands/sp.plan.md,2,gh search code
